endTime,artistName,trackName,msPlayed
2022-05-19 15:44,Andrés Calamaro,Mil Horas,12822
2022-05-19 15:44,Bersuit Vergarabat,El Tiempo No Para - Live In Buenos Aires / 2001,3157
2022-05-19 22:11,Los Pericos,Runaway,50986
2022-05-19 22:15,Los Enanitos Verdes,Lamento Boliviano,222226
2022-05-19 22:17,Charly García,Demoliendo Hoteles,135973
2022-05-19 22:23,Los Auténticos Decadentes,Loco (Tu Forma De Ser),313000
2022-05-19 22:25,Los Cafres,Bastará,11285
2022-05-19 22:25,Babasónicos,Irresponsables,118937
2022-05-19 22:27,Divididos,Tengo,154893
2022-05-19 22:27,Dread Mar I,Tu Sin Mi,4478
2022-05-19 22:29,Las Pelotas,Será,115968
2022-05-20 23:10,Coldplay,Hymn for the Weekend,258266
2022-05-20 23:13,WALK THE MOON,Shut Up and Dance,199080
2022-05-20 23:26,Bruno Mars,Treasure,178560
2022-05-20 23:30,Calvin Harris,Blame (feat. John Newman),212960
2022-05-20 23:46,Luis Miguel,Ahora Te Puedes Marchar,154716
2022-05-20 23:46,Pescado Rabioso,Las Habladurias del Mundo,2035
2022-05-20 23:46,Patricio Rey y sus Redonditos de Ricota,Masacre en el Puticlub,1733
2022-05-20 23:54,Los Piojos,Verano del 92,428604
2022-05-20 23:56,Charly García,Promesas Sobre El Bidet,163108
2022-05-21 00:01,Gorillaz,Clint Eastwood,43874
2022-05-21 00:01,Tan Bionica,La Melodía de Dios,283302
2022-05-21 00:05,La Portuaria,10000 Km,248517
2022-05-21 00:10,Catupecu Machu,A Veces Vuelvo,264228
2022-05-21 00:10,Juan Carlos Baglietto,Era En Abril,914
2022-05-21 00:14,Los Violadores,Sentimiento Fatal,260563
2022-05-21 00:18,Mancha De Rolando,Arde la ciudad,249745
2022-05-21 00:21,Pedro Y Pablo,Yo Vivo en Esta Ciudad,178791
2022-05-21 00:25,Los Rodriguez,Diez años después,213784
2022-05-21 00:28,Los Abuelos De La Nada,Lunes Por La Madrugada,192879
2022-05-21 00:32,Virus,Destino Circular,221029
2022-05-21 00:35,Sui Generis,Mariel y el Capitán,162448
2022-05-21 00:39,Virus,Imágenes Paganas,267139
2022-05-21 00:42,Sui Generis,Lunes Otra Vez,163365
2022-05-21 00:46,GIT,La Calle Es Su Lugar,264997
2022-05-21 00:51,La Vela Puerca,Va A Escampar,279424
2022-05-21 00:56,Andrés Calamaro,Flaca,275531
2022-05-21 01:01,Los Auténticos Decadentes,Loco (Tu Forma De Ser),310837
2022-05-21 01:05,Los Siete Delfines,Post Crucifixion,226771
2022-05-21 01:09,Charly García,Cerca De La Revolucion,278488
2022-05-21 01:13,Tan Bionica,Ella,226260
2022-05-21 01:17,Juan Carlos Baglietto,Historia De Mate Cocido,251045
2022-05-21 01:21,La Portuaria,Un Dia Cualquiera (El Bar De La Calle Rodney),226331
2022-05-21 01:27,Patricio Rey y sus Redonditos de Ricota,Ji Ji Ji,332356
2022-05-21 01:30,Mancha De Rolando,Chino,201071
2022-05-21 01:35,El Mató a un Policía Motorizado,El Tesoro,269475
2022-05-21 01:39,Bersuit Vergarabat,Sr. Cobranza,257999
2022-05-21 01:43,Los Rodriguez,Mucho mejor (feat. Coque Malla),233139
2022-05-21 01:50,Richard Coleman,Heroes - En Vivo,404747
2022-05-21 01:53,Los Abuelos De La Nada,Costumbres Argentinas - En Vivo,181739
2022-05-21 01:56,Vicentico,No Te Apartes de Mí,196813
2022-05-21 01:59,Fabiana Cantilo,Mi enfermedad,200334
2022-05-21 02:05,Luis Alberto Spinetta,Cancion para los Días de la Vida,345595
2022-05-21 02:07,Charly García,Demoliendo Hoteles,135063
2022-05-21 02:12,La Portuaria,Selva,247223
2022-05-21 02:15,Sui Generis,Aprendizaje,220620
2022-05-21 02:19,Sui Generis,Canción para Mi Muerte,214138
2022-05-21 02:24,Fito Paez,Ciudad De Pobres Corazones,326422
2022-05-21 02:29,Miguel Mateos - Zas,Sólo Fuego,287423
2022-05-21 02:34,Los Rodriguez,Dulce condena - Edición Aniversario,278895
2022-05-21 02:38,Riff,Susy Cadillac,237771
2022-05-21 02:40,Los Abuelos De La Nada,Así Es El Calor,157213
2022-05-21 02:45,Charly García,Hablando a Tu Corazón,253940
2022-05-21 02:49,Los Fabulosos Cadillacs,El Satánico Dr. Cadillac - Remasterizado 2008,239962
2022-05-21 02:53,Papando Moscas,Paso El Tiempo,253773
2022-05-21 02:57,Los Tipitos,Apostar al Amor,258923
2022-05-21 03:02,Invisible,El Anillo del Capitán Beto,304464
2022-05-21 03:06,Los Rodriguez,"Palabras más, palabras menos",210191
2022-05-21 03:09,Soda Stereo,Te Hacen Falta Vitaminas - Remasterizado 2007,157300
2022-05-21 03:11,#TocoParaVos,Hasta la luna,148200
2022-05-21 03:14,Las Pelotas,Será - En Vivo en el Luna Park,171002
2022-05-21 03:17,Babasónicos,La Lanza,188924
2022-05-21 03:20,Los Tipitos,Brujería,180792
2022-05-21 03:24,No Te Va Gustar,A las Nueve,205976
2022-05-21 03:28,Andrés Calamaro,Crímenes perfectos,262699
2022-05-21 03:31,Andrés Calamaro,El salmón,166033
2022-05-21 03:35,Las Pelotas,Personalmente,248645
2022-05-21 03:39,Luis Alberto Spinetta,No Te Alejes Tanto De Mí,210379
2022-05-21 03:41,Luis Alberto Spinetta,Seguir Viviendo Sin Tu Amor,159635
2022-05-21 03:45,Los Auténticos Decadentes,La Guitarra,217067
2022-05-21 03:49,La Zimbabwe,Verano Del '57,215692
2022-05-21 03:52,Fito Paez,Yo Vengo A Ofrecer Mi Corazon,214487
2022-05-21 04:02,Serú Girán,A Los Jóvenes De Ayer - Remastered 2012,567868
2022-05-21 04:05,Patricio Rey y sus Redonditos de Ricota,Vencedores Vencidos,207602
2022-05-21 06:45,Soda Stereo,Nada Personal - Remasterizado 2007,224378
2022-05-23 10:32,Gorillaz,Clint Eastwood,447
2022-05-23 10:37,Los Fabulosos Cadillacs,Siguiendo la Luna - Remasterizado 2008,291973
2022-05-23 10:40,Los Fabulosos Cadillacs,Padre Nuestro,207281
2022-05-24 10:25,Los Fabulosos Cadillacs,Padre Nuestro,4330
2022-05-24 10:29,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),217466
2022-05-24 10:33,Sean Paul,No Lie,221176
2022-05-24 10:35,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,153171
